event_id,event_date,event_end_date,year,month,district,state,block,gram_panchayat,village_locality,river_stream,catchment,event_type,trigger,severity,flood_description,affected_population,deaths,injuries,houses_affected,roads_bridges_affected,agricultural_damage,infrastructure_damage,evacuated_population,latitude,longitude,location_precision,location_source,source_title,source_organization,source_publication_date,source_url,secondary_source_url,source_reliability,evidence_quote,confidence,data_notes
CHAMOLI-FLD-2005-001,2005-07-06,,2005,7,Chamoli,Uttarakhand,Ghat,,Ghat town and surrounding settlements,Chuflagad,Nandakini,flash_flood,cloudburst,severe,Cloudburst in upper catchment triggered high-velocity flash flood in Chuflagad rivulet inundating Ghat market and washing away riverbank infrastructure.,,4,,8,Ghat motor road damaged and 1 pedestrian suspension bridge destroyed,Agricultural terraces along Chuflagad eroded,River embankment breached and several shops inundated,,30.2568,79.4442,locality,Survey of India Open Series Map geocoding,Disaster Management Report on Chuflagad Flash Flood,Disaster Mitigation and Management Centre Uttarakhand,2005-08-15,https://dmmc.uk.gov.in/files/pdf/Ghat_Report.pdf,,Tier 1,A devastating flash flood occurred on 6 July 2005 in Chuflagad river following cloudburst in Ghat block,high,Strictly verified from DMMC post-disaster field investigation report.
CHAMOLI-FLD-2010-001,2010-09-18,2010-09-20,2010,9,Chamoli,Uttarakhand,Joshimath,,Joshimath downstream / Alaknanda bank,Alaknanda,Alaknanda,river_flood,extreme_rainfall,moderate,Sustained rainfall caused Alaknanda to breach danger levels eroding riverward toes and flooding river terraces.,,,,2,Badrinath National Highway (NH-58) breached by river overflow at several stretches,,,30.5564,,,Survey of India gazetteer geocoding,State Disaster Situation Report September 2010,Uttarakhand State Disaster Management Authority,2010-09-21,https://usdma.uk.gov.in/situational-reports-2010,,Tier 1,Continuous rainfall across Chamoli caused Alaknanda to flow above danger mark inundating low-lying banks along Joshimath route,high,Part of the September 2010 statewide continuous monsoon flooding.,
CHAMOLI-FLD-2012-001,2012-08-04,,2012,8,Chamoli,Uttarakhand,Joshimath,,Pulna village,Bhyundar Ganga,Alaknanda,flash_flood,cloudburst,severe,Flash flood caused by cloudburst washed away footbridges and eroded agricultural land in Pulna along the Hemkund Sahib trek route.,,1,,5,3 wooden bridges washed away,Agricultural terraces abutting stream washed away,Pilgrim trek path washed away,,30.6865,79.5841,village,Bhuvan Village Boundary / SOI geocoding,Damage Assessment Report: August 2012 Cloudburst Events,Disaster Mitigation and Management Centre Uttarakhand,2012-08-20,https://dmmc.uk.gov.in/files/pdf/August_2012_Report.pdf,,Tier 1,On 4 August 2012 cloudburst in Bhyundar valley caused sudden flash flood at village Pulna damaging foot suspension bridges,high,Official DMMC geological field assessment conducted post-event.
CHAMOLI-FLD-2013-001,2013-06-16,2013-06-17,2013,6,Chamoli,Uttarakhand,Joshimath,,Govindghat,Alaknanda and Bhyundar Ganga confluence,Alaknanda,flash_flood,extreme_rainfall,extreme,Simultaneous surge of Alaknanda and Bhyundar Ganga inundated Govindghat settlement washing away vehicles parking ground gurdwara facilities and foot suspension bridge.,,5,,45,Suspension bridge to Hemkund Sahib washed away and NH-58 swept into gorge,Substantial erosion of riverbed terraces,Gurdwara guest rooms market area and primary vehicle terminal submerged and eroded,1500,30.6247,79.5968,locality,Official GSI Disasters Record / Survey of India,Geological Survey of India Post-Disaster Report on June 2013 Floods,Geological Survey of India,2013-12-01,https://www.gsi.gov.in/webcenter/portal/OCBIS,,Tier 1,Govindghat located at confluence of Alaknanda and Bhyundar Ganga suffered massive devastation due to sudden flash flood washing away the bridge and parking ground,high,One of the focal disaster zones documented across GSI DMMC and multi-agency assessments.
CHAMOLI-FLD-2013-002,2013-06-16,2013-06-17,2013,6,Chamoli,Uttarakhand,Joshimath,,Lambagar,Alaknanda,Alaknanda,river_flood,extreme_rainfall,extreme,Violent surge of Alaknanda submerged and washed away riverside settlements market structures and segments of NH-58 near Vishnuprayag HEP reservoir.,,2,,20,Over 500 meters of NH-58 completely washed into river,Extensive loss of riverside arable land,Riverbank commercial establishments and barrage approach works inundated,,30.6402,79.5516,village,Survey of India Open Series Map geocoding,Rapid Assessment of Cloudburst and Floods in Uttarakhand,National Institute of Disaster Management,2013-10-15,https://nidm.gov.in/PDF/PUBS/Uttarakhand_Disaster_2013.pdf,,Tier 1,At Lambagar Alaknanda river engulfed parts of highway and houses along the river bank,high,NIDM/DMMC post-disaster study confirmed site coordinates and specific river bank failures.
CHAMOLI-FLD-2013-003,2013-06-17,2013-06-18,2013,6,Chamoli,Uttarakhand,Joshimath,,Pandukeshwar,Alaknanda,Alaknanda,river_flood,extreme_rainfall,severe,River Alaknanda breached embankments eroding foundational riverbank terraces and inundating houses situated along the pilgrim route.,,1,,14,Connecting road cut off,Crops and apple orchards washed out along riverbed,Local power lines and primary pathway washed away,250,30.6469,79.5372,village,Census of India 2011 Village Registry geocoded,Uttarakhand Disaster June 2013 Rehabilitation Dossier,Uttarakhand Disaster Recovery Project (UDRP),2014-03-31,https://udrp.uk.gov.in/reports,,Tier 1,Pandukeshwar village witnessed heavy river bank erosion and flooding of residential houses close to the active channel of Alaknanda,high,Detailed under World Bank / UDRP village recovery action plans.
CHAMOLI-FLD-2013-004,2013-06-16,2013-06-18,2013,6,Chamoli,Uttarakhand,Tharali,,Tharali market and riverfront,Pindar,Pindar,river_flood,extreme_rainfall,severe,Pindar river overflowed embankments flooding Tharali market collapsing riverfront houses and washing away pedestrian bridges.,,3,,30,Motor bridge approach damaged and 2 foot suspension bridges washed away,Riverside agricultural land submerged in silt,Market shops bank branches and electricity infrastructure flooded,,30.0631,79.4975,town,Survey of India geocoding,Pindar Basin June 2013 Flood Assessment,Uttarakhand Forest and Disaster Management Working Papers,2013-11-20,https://forest.uk.gov.in/publications,,Tier 1,Pindar river swelled dangerously flooding lower reaches of Tharali market and destroying concrete buildings along its banks,high,Extensively verified by District Magistrate Chamoli situation releases.
CHAMOLI-FLD-2013-005,2013-06-16,2013-06-17,2013,6,Chamoli,Uttarakhand,Karanprayag,,Karanprayag confluence (Alaknanda-Pindar),Alaknanda and Pindar,Alaknanda,river_flood,extreme_rainfall,severe,Torrential water volumes from both Pindar and Alaknanda submerged confluence ghats commercial buildings and municipal pump house.,,0,,18,Badrinath highway bypass inundated and damaged,Riparian farmlands silted,Municipal pump house submerged and market structures submerged up to first floor,,30.2589,79.2198,town,Survey of India geocoding,Central Water Commission Flood Forecasting Log June 2013,Central Water Commission,2013-06-25,https://cwc.gov.in/flood-reports-archive,,Tier 1,Alaknanda and Pindar rivers at Karnaprayag flowed 3.5 meters above danger level drowning ghats and market infrastructure,high,CWC gauge station readings matched with local district reports.
CHAMOLI-FLD-2016-001,2016-07-01,,2016,7,Chamoli,Uttarakhand,Ghat,,Siron village,Local stream / Chuflagad tributary,Nandakini,flash_flood,cloudburst,severe,Sudden cloudburst early morning triggered massive mud and water torrent that swept through Siron village burying livestock and homes.,,3,,7,Connecting village road cut off,Agricultural fields flattened by heavy debris load,Cow shelters and drinking water pipelines destroyed,,30.2315,79.4678,village,Census of India 2011 Village Registry geocoded,SitRep: Cloudburst incidents in Chamoli and Pithoragarh,National Disaster Management Authority,2016-07-02,https://ndma.gov.in/sitreps/2016-07-01,,Tier 1,At Siron village in Ghat tehsil of Chamoli district cloudburst triggered flash flood burying residential structures,high,NDMA/SDRF coordinated search and rescue documentation.
CHAMOLI-FLD-2016-002,2016-07-01,,2016,7,Chamoli,Uttarakhand,Ghat,,Lakhi village,Chuflagad tributary,Nandakini,flash_flood,cloudburst,moderate,Flash flood torrent carrying silt and boulders rushed through Lakhi village following cloudburst destroying agricultural fields and cowsheds.,,0,,4,Village link path breached,Extensive debris deposition over terrace farms,3 cowsheds washed away,,30.2241,79.4589,village,Census of India 2011 Village Registry geocoded,Chamoli Cloudburst Incident Status Report,Uttarakhand State Disaster Management Authority,2016-07-03,https://usdma.uk.gov.in/reports-2016,,Tier 1,In Lakhi village of Ghat block flood water inundated residential premises following cloudburst,high,Verified simultaneously with Siron incident under USDMA disaster docket.
